Id,LotFrontage,LotArea,BldgType,OverallQual,OverallCond,FullBath,HalfBath,TotRmsAbvGrd,YearBuilt,TotalBsmtSF,BedroomAbvGr,Heating,CentralAir,GrLivArea,PoolArea,YrSold,SalePrice
3880,82,6563,1Fam,6,6,2,0,7,1960,1034,3,GasA,Y,1604,0,2010,166533.179413748
3881,94,7917,1Fam,5,7,0,0,8,1967,1431,0,GasA,Y,938,0,2006,163003.092190821
3882,80,14963,TwnhsE,7,5,2,0,5,1940,1151,2,GasA,Y,1978,0,2006,249257.543237149
3883,75,10918,Duplex,4,5,1,0,8,1976,888,4,GasA,Y,2127,0,2008,154327.034722074
3884,88,9525,1Fam,7,5,2,1,7,2004,894,3,GasA,Y,1700,0,2007,208635.420718585
3885,55,2651,1Fam,5,5,1,1,6,1959,483,3,GasA,Y,1516,0,2009,111712.297852768
3886,75,14587,1Fam,6,5,2,1,8,1959,649,3,GasA,Y,1086,0,2009,155526.147110921
3887,,8530,1Fam,6,5,1,0,7,1996,1210,2,GasA,Y,1493,0,2007,207001.204824023
3888,60,8791,1Fam,5,5,1,0,6,2004,1386,4,GasA,Y,2098,0,2010,153253.052791995
3889,84,7200,1Fam,6,5,1,0,6,2006,840,3,GasA,Y,1484,0,2010,173247.813394825
3890,65,3230,1Fam,6,6,1,0,8,1995,750,3,GasA,Y,1629,0,2007,141111.759738738
3891,76,7134,1Fam,8,5,1,0,8,1947,978,3,GasA,Y,964,0,2007,209266.364498432
3892,70,164660,1Fam,7,5,1,0,5,1950,1188,2,GasA,Y,2084,512,2009,268374.140549842
3893,57,8198,1Fam,7,5,2,1,7,1985,756,3,GasA,Y,1437,0,2006,190593.004549894
3894,44,7314,1Fam,6,7,2,0,6,1993,1002,3,GasA,Y,780,0,2010,143565.284616519
3895,,11216,1Fam,5,5,2,0,7,1975,1484,3,GasA,Y,1573,0,2006,189460.849653637
3896,60,9480,1Fam,5,5,1,1,7,1967,1408,3,GasA,Y,1003,0,2007,155442.035339635
3897,,10300,1Fam,9,5,1,1,7,2004,960,4,GasA,N,2094,0,2008,259212.679265342
3898,94,11606,1Fam,6,7,1,0,8,1957,728,3,GasA,Y,2614,0,2010,228003.515440924
3899,64,7000,1Fam,4,5,2,0,5,1920,1713,2,GasA,Y,1717,0,2010,162574.077974188
3900,60,7943,Twnhs,5,5,2,0,8,2007,840,3,GasA,Y,1474,0,2006,159991.551310162
3901,103,8475,1Fam,8,5,2,0,6,1918,190,3,GasA,Y,3112,0,2007,261159.371712889
3902,55,13695,1Fam,6,5,2,0,6,1948,954,4,GasA,Y,860,0,2009,133745.199238338
3903,75,8198,Duplex,7,5,2,0,10,1966,673,3,GasA,Y,918,0,2006,115080.461280433
3904,70,15431,1Fam,5,5,2,0,5,1972,1208,3,GasA,Y,1590,0,2008,155017.963019149
3905,70,10552,1Fam,4,5,2,0,3,1972,864,3,GasA,Y,1086,0,2009,127429.192648416
3906,81,6762,1Fam,7,5,1,0,7,1950,952,4,GasA,Y,1200,0,2007,128371.110178663
3907,,5271,1Fam,4,5,1,1,6,2000,1572,4,GasA,Y,1826,0,2010,180718.050786718
3908,59,14963,1Fam,7,5,2,0,7,1925,617,3,GasA,N,2078,0,2006,172284.172835955
3909,82,9291,1Fam,6,7,1,0,4,2008,1302,2,GasA,Y,1178,0,2006,154790.145368434
3910,66,7800,1Fam,8,7,2,0,5,1979,1053,2,GasA,Y,1392,0,2007,227798.802524389
3911,64,9855,Twnhs,6,5,2,1,5,2007,1392,3,GasA,Y,1432,0,2006,210370.335983052
3912,82,1680,1Fam,7,6,1,0,6,1965,1258,2,GasA,Y,1040,0,2009,127198.521612225
3913,55,8450,1Fam,5,6,2,0,8,1900,1304,3,GasA,Y,2002,0,2007,156407.668125976
3914,75,4130,2fmCon,5,6,2,0,4,1973,1629,3,GasA,Y,1616,0,2008,138080.336978539
3915,60,20896,1Fam,9,5,2,1,10,1978,832,4,GasA,Y,2087,0,2008,278697.044672482
3916,65,8125,1Fam,6,5,2,1,5,1994,700,4,GasA,Y,1440,0,2010,169347.322530416
3917,,7685,1Fam,3,5,1,1,6,1964,1196,3,GasA,Y,1535,0,2007,151751.324284963
3918,82,11777,1Fam,6,6,2,1,7,1997,689,2,GasA,Y,988,0,2007,101593.978574899
3919,,4435,1Fam,4,5,1,0,9,1925,816,3,GasA,Y,1632,0,2010,156716.944286018
3920,70,17920,1Fam,4,6,2,0,6,1994,1063,3,GasA,Y,1590,0,2010,175344.326022878
3921,59,6270,1Fam,8,6,2,0,7,2009,1134,2,GasA,Y,1479,0,2006,269443.799202129
3922,59,12095,1Fam,5,5,2,0,9,2007,960,2,GasA,Y,980,0,2007,130951.828700662
3923,67,12800,TwnhsE,7,5,1,0,9,1972,883,3,GasA,Y,841,0,2006,140295.002235476
3924,75,21780,1Fam,7,5,1,1,6,1968,1163,3,GasA,Y,1360,0,2009,166981.108082403
3925,75,10500,1Fam,7,7,1,1,8,1906,1926,3,GasA,Y,1973,0,2007,201535.171581808
3926,78,13860,1Fam,6,7,1,0,8,1970,755,4,GasA,Y,1886,0,2008,170936.919558874
3927,60,16285,1Fam,7,5,2,1,9,1976,1470,4,GasA,Y,1895,0,2007,241021.94328409
3928,35,50271,1Fam,4,8,2,0,7,2008,880,3,GasA,N,1796,0,2006,175837.650609558
3929,80,2448,1Fam,7,5,1,0,6,1940,1144,3,GasA,Y,875,0,2006,132895.930723416
3930,82,10150,1Fam,5,6,2,0,6,1918,1164,3,GasA,Y,1509,0,2006,124371.731540766
3931,40,8500,TwnhsE,7,6,1,0,6,1916,864,2,GasA,Y,1639,648,2010,142671.148145112
3932,92,7000,1Fam,6,5,2,0,11,2006,1184,3,GasA,Y,1517,0,2007,158793.071517741
3933,72,7795,1Fam,9,6,2,1,8,1948,1264,4,GasA,Y,1350,0,2008,198166.392025731
3934,66,9742,1Fam,7,6,2,0,4,1999,1580,4,GasA,Y,1442,0,2007,216333.351968934
3935,50,21750,1Fam,7,5,1,1,7,2009,1234,3,GasA,Y,1350,0,2006,181079.807363596
3936,70,9945,Twnhs,5,5,1,0,9,1964,1064,3,GasA,Y,1324,0,2007,132093.812955566
3937,64,10355,1Fam,2,6,2,0,9,1900,864,4,GasA,Y,1577,0,2007,103925.609408644
3938,174,34650,1Fam,5,5,2,0,6,1972,945,1,GasA,Y,1574,0,2007,225666.663093095
3939,80,9600,1Fam,5,1,2,0,7,1968,910,2,GasA,Y,780,0,2009,94165.2284109756
3940,,11275,1Fam,7,6,2,1,5,1998,1092,4,GasA,Y,767,0,2008,172433.554168448
3941,70,16659,1Fam,7,6,1,0,6,1996,825,2,GasA,Y,1309,0,2010,194037.620910486
3942,66,5306,1Fam,7,5,1,1,8,2002,1095,4,GasA,Y,2403,0,2007,215834.998470975
3943,70,10927,1Fam,4,5,2,1,7,2006,1362,4,GasA,Y,1248,0,2008,163537.820878068
3944,60,11214,TwnhsE,8,4,1,1,6,2004,1728,1,GasA,Y,1501,0,2008,312880.673448759
3945,70,12984,1Fam,5,6,1,1,7,2006,756,4,GasA,Y,912,0,2007,107216.603095132
3946,82,14331,1Fam,5,5,1,1,7,1937,996,3,GasW,Y,1674,0,2007,144618.068772522
3947,87,8400,1Fam,7,7,1,0,6,1953,540,3,GasA,Y,1077,0,2007,105029.335975707
3948,74,6629,1Fam,5,5,1,0,6,1932,774,3,GasA,Y,1456,0,2009,148380.777747545
3949,24,14260,1Fam,5,5,1,0,6,2004,1383,2,GasA,Y,1200,0,2009,167950.229181094
3950,90,8163,1Fam,8,6,2,1,6,1965,808,1,GasA,Y,1176,0,2010,171888.31628594
3951,,7931,1Fam,5,5,2,0,5,1922,870,2,GasA,Y,1217,0,2010,102475.093335599
3952,21,6600,1Fam,7,5,3,1,9,1936,1194,2,GasA,Y,816,0,2009,110434.935793509
3953,90,10650,1Fam,6,6,2,0,8,1912,1058,4,GasA,Y,1498,0,2009,163518.735055714
3954,43,164660,1Fam,6,5,2,0,6,1952,660,3,GasA,Y,960,0,2010,122779.594821118
3955,65,10530,1Fam,5,5,1,0,7,1948,2006,4,GasA,Y,1252,0,2009,163697.635427836
3956,34,17423,1Fam,5,5,1,0,8,1976,1728,3,GasA,Y,1328,0,2007,167826.953815265
3957,,9600,1Fam,10,5,1,1,6,1957,1517,3,GasA,Y,1266,0,2010,199492.943764507
3958,80,2500,1Fam,4,5,1,0,8,1999,952,2,GasA,Y,1829,0,2009,119171.266684946
3959,60,21780,1Fam,9,5,1,0,5,1972,264,3,GasA,Y,1158,0,2009,240448.582402186
3960,65,15138,1Fam,5,6,1,0,9,1923,1080,3,GasA,Y,1253,0,2007,138387.269189861
3961,,7892,1Fam,6,7,2,0,8,1954,1145,3,GasA,Y,1950,0,2008,191152.447756764
3962,100,2522,1Fam,6,5,1,0,8,1954,1073,3,GasA,Y,1742,0,2007,130747.563317737
3963,59,10665,1Fam,6,5,2,0,8,2005,1297,1,GasA,Y,2646,0,2010,268677.452469835
3964,71,10655,1Fam,7,7,2,0,6,1958,1029,5,GasA,N,1040,0,2007,192905.576166899
3965,67,10084,1Fam,5,5,1,0,10,1992,1383,4,GasA,Y,1717,0,2008,130505.050656791
3966,79,6120,1Fam,5,5,2,0,6,2008,1196,4,GasA,Y,1639,0,2007,175051.699523763
3967,,10437,1Fam,5,6,1,1,12,1994,912,4,GasA,Y,1008,0,2007,153252.308827137
3968,74,13891,1Fam,5,7,1,1,6,2007,0,2,GasA,Y,2418,0,2007,175418.100886035
3969,48,10665,1Fam,7,6,1,0,5,1989,952,3,GasA,N,1665,0,2006,191629.982300582
3970,68,8470,1Fam,8,5,2,0,6,1953,1184,3,GasA,Y,1590,0,2006,165889.788272774
3971,73,6911,1Fam,9,6,2,1,5,1950,1682,3,GasA,N,827,0,2006,261228.466437103
3972,60,3180,Duplex,5,5,2,0,6,1967,888,3,GasA,Y,2121,0,2007,141648.911499435
3973,60,7677,1Fam,5,5,2,0,8,2005,1520,3,GasA,Y,1008,0,2009,159334.072421274
3974,,5000,1Fam,6,5,2,1,6,1955,1349,4,GasA,Y,1080,0,2006,165155.478657149
3975,65,10656,1Fam,5,7,2,1,8,1928,804,3,GasA,Y,1935,0,2009,160232.027396394
3976,64,10267,1Fam,8,5,2,1,7,1998,1264,3,GasW,Y,1656,0,2008,208989.075324277
3977,65,6970,1Fam,5,6,2,0,8,1921,1593,2,GasA,Y,1099,0,2008,131152.696097623
3978,,8760,1Fam,5,7,2,1,6,1930,1144,3,GasA,Y,1137,0,2007,160158.532627086
3979,,7472,2fmCon,7,6,1,0,5,2001,672,3,GasA,Y,1696,0,2008,179222.958846308
3980,57,11478,1Fam,6,5,1,0,3,1957,880,3,GasA,Y,1768,0,2007,134643.146947753
3981,72,215245,Duplex,7,5,1,0,8,2001,1626,4,GasA,Y,1928,0,2008,278831.996580853
3982,88,7700,Duplex,6,5,2,1,11,1967,738,2,GasA,Y,1368,0,2006,145582.28398033
3983,70,21535,1Fam,5,4,2,0,8,1939,1080,2,GasA,Y,1376,0,2008,148702.175853502
3984,,9967,1Fam,5,5,1,1,7,1924,1136,1,GasA,Y,1458,0,2008,139429.821400494
3985,65,9600,Twnhs,6,6,1,1,6,2003,528,4,GasA,Y,480,0,2006,133667.813159599
3986,90,9020,1Fam,7,5,2,1,9,1914,861,3,GasA,Y,1478,0,2008,150036.05780242
3987,,9900,1Fam,4,7,1,0,8,1988,1498,3,GasA,Y,1375,0,2010,219986.64451983
3988,70,12030,1Fam,5,6,2,1,5,1930,864,3,GasA,Y,1750,0,2006,140351.588243197
3989,110,7000,1Fam,5,5,1,0,6,1939,1291,3,GasA,Y,1680,0,2008,131107.061563351
3990,,10237,1Fam,7,5,2,0,5,1954,864,1,GasA,Y,1728,0,2007,159425.807201072
3991,,10400,2fmCon,5,7,1,0,5,1972,860,3,GasA,Y,2596,0,2009,161650.220803853
3992,75,7500,1Fam,7,6,2,0,8,1959,1694,3,GasA,Y,1797,0,2007,223813.799044538
3993,92,3182,1Fam,4,5,2,1,6,1959,1494,3,GasA,Y,1888,0,2006,208610.283899374
3994,75,7750,Duplex,7,5,2,0,5,1900,1040,1,GasA,Y,2134,0,2006,215813.317855558
3995,80,10000,1Fam,7,6,2,1,5,1965,1041,4,GasA,Y,884,0,2006,129107.404001899
3996,90,10927,1Fam,8,8,2,0,8,1994,485,2,GasA,Y,1269,0,2010,203403.57243345
3997,55,10656,1Fam,7,5,2,0,7,1925,1777,2,GasA,Y,1440,0,2006,183361.713682819
3998,84,13006,1Fam,7,5,2,1,9,1950,1297,3,GasW,Y,858,0,2007,134737.909401334
3999,80,10530,1Fam,5,5,2,0,6,1958,1116,4,GasA,Y,869,0,2009,135922.164858758
4000,84,10656,1Fam,8,7,1,1,6,1953,952,4,GasA,Y,1458,0,2010,196640.341746576
4001,90,21453,1Fam,4,5,2,0,5,1924,1394,2,GasA,Y,1701,0,2006,195616.617912698
4002,88,12456,1Fam,6,7,1,1,6,1994,1561,3,GasA,Y,2198,0,2008,225804.912103144
4003,63,12704,1Fam,8,6,2,1,6,1976,1800,3,GasA,Y,1479,0,2009,185209.011388388
4004,71,16321,1Fam,4,3,2,0,7,2003,684,3,GasA,Y,1057,0,2006,126893.5442265
4005,75,9600,1Fam,5,5,1,1,9,1978,798,3,GasA,Y,1761,0,2010,144091.649464569
4006,63,14450,Duplex,6,5,2,1,10,2005,1394,3,GasA,Y,1310,0,2006,157665.755583579
4007,65,13346,1Fam,8,5,3,0,7,1968,1212,3,GasA,Y,1728,0,2006,233066.487293342
4008,60,9906,TwnhsE,8,5,2,0,8,1910,1563,4,GasA,Y,1502,0,2010,184578.342554869
4009,60,25419,1Fam,6,7,1,0,6,1954,1809,2,GasA,Y,2775,0,2007,205766.83809049
4010,82,9084,1Fam,6,5,2,0,6,1940,1347,3,GasA,N,1800,0,2007,147690.097058356
4011,,11426,1Fam,6,5,1,1,8,1940,1291,3,GasA,Y,1212,0,2007,142760.723496266
4012,21,12182,1Fam,5,7,2,0,6,1940,798,2,GasA,N,1960,0,2009,165272.952650719
4013,63,5500,1Fam,6,5,1,1,6,2003,1264,3,GasA,Y,1054,0,2008,153500.649693191
4014,94,11146,1Fam,8,5,2,1,5,2000,764,3,GasA,Y,899,0,2006,152608.655215651
4015,60,13101,1Fam,4,5,1,0,7,1955,637,2,GasA,Y,1352,0,2009,132771.730330821
4016,87,11600,1Fam,6,5,1,1,8,1950,1478,4,GasA,Y,1688,0,2006,160311.550933399
4017,75,7200,1Fam,7,5,2,0,7,1967,1196,3,GasA,Y,2240,0,2006,195715.25011077
4018,60,4928,1Fam,7,5,1,0,7,1984,1050,3,GasA,Y,1183,0,2008,156312.274980538
4019,50,11249,1Fam,6,7,2,1,7,1963,1682,2,GasA,Y,520,0,2007,171449.813003074
4020,64,7200,1Fam,6,8,2,0,4,1961,1800,4,GasA,Y,1700,0,2006,210344.095562669
4021,57,6120,1Fam,9,5,2,1,6,1971,528,3,GasA,Y,1629,0,2007,218305.283118952
4022,45,2544,1Fam,6,6,2,1,7,1988,866,3,GasA,Y,1002,0,2007,102878.430389774
4023,71,7399,1Fam,5,5,2,1,5,1925,1498,3,GasA,Y,1048,0,2009,170863.634034479
4024,,11670,1Fam,6,5,1,0,3,1953,700,3,GasA,Y,894,0,2009,108296.373861158
4025,100,7032,1Fam,5,5,1,0,6,1996,1140,3,GasA,Y,1604,0,2008,163564.432243534
4026,75,11250,1Fam,4,5,1,0,5,1953,1626,1,GasA,Y,720,0,2007,124580.937408165
4027,,9000,1Fam,4,5,1,0,7,2004,684,3,GasA,Y,1547,0,2010,145074.310791184
4028,21,11600,1Fam,4,5,2,1,7,1926,1533,3,GasA,Y,1269,0,2006,142214.432345054
4029,60,5925,1Fam,6,9,2,0,7,1959,780,2,GasA,Y,1911,0,2009,192940.966795892
4030,36,19296,1Fam,8,5,1,0,5,1999,1372,3,GasA,Y,1056,0,2009,196919.144207752
4031,90,8400,1Fam,7,6,1,1,7,1954,1488,3,GasA,Y,2256,0,2007,221419.986555693
4032,75,7438,1Fam,5,5,1,0,6,1970,1386,3,GasA,Y,1098,0,2010,122738.060863968
4033,75,8000,1Fam,5,8,2,0,6,2005,858,3,GasA,Y,1502,0,2007,160749.941335015
4034,60,9017,1Fam,1,5,1,1,6,1893,1010,3,GasA,Y,1993,0,2007,154320.338846751
4035,67,13907,1Fam,7,5,2,0,8,2005,864,4,GasA,Y,2728,0,2007,273875.306361789
4036,92,4500,1Fam,6,6,2,1,8,1939,1276,3,GasA,Y,1716,0,2008,130006.951193817
4037,62,10839,1Fam,5,5,1,1,7,1978,832,2,GasA,Y,1426,0,2008,139294.31938736
4038,55,9375,1Fam,6,5,2,0,5,1962,840,4,GasA,Y,1416,0,2006,146735.462080879
4039,,10791,TwnhsE,5,6,2,0,10,1960,1208,4,GasA,Y,1414,0,2009,148967.943213517
4040,70,9549,TwnhsE,7,5,2,0,7,1968,1623,3,GasA,Y,1308,0,2010,171168.126171296
4041,50,6120,1Fam,8,5,2,1,8,1976,953,2,GasA,Y,1560,0,2006,226166.267269302
4042,64,8125,1Fam,6,6,1,0,3,1948,844,4,GasA,Y,1852,0,2006,181141.423955488
4043,69,6930,Duplex,5,5,2,0,10,1890,672,3,GasA,Y,1199,0,2006,93917.0976263066
4044,63,16669,1Fam,5,5,1,0,5,1940,1563,3,GasA,Y,2158,0,2009,166162.069630129
4045,,11500,1Fam,4,5,1,1,6,1961,728,1,GasA,Y,1135,0,2007,113184.303176522
4046,72,11414,1Fam,4,6,1,1,7,1914,1947,3,GasA,Y,1894,0,2009,167850.696546581
4047,77,10839,1Fam,7,6,1,1,6,1950,520,3,GasA,Y,2080,0,2009,187089.392069067
4048,94,8450,1Fam,2,5,2,1,5,2004,856,3,GasA,Y,1236,0,2008,131243.189516955
4049,73,12090,1Fam,5,5,2,1,8,1965,483,2,GasA,Y,1137,0,2007,114591.904391408
4050,83,6820,1Fam,7,5,2,1,8,1954,264,2,GasA,Y,2596,0,2009,230866.914388648
4051,,13891,1Fam,7,6,2,0,9,1957,1584,1,GasA,Y,1775,0,2008,214245.470912352
4052,64,11645,1Fam,6,6,1,1,8,1962,1922,3,GasA,Y,1121,0,2007,173428.587599657
4053,60,13891,1Fam,7,7,2,0,6,1970,1109,1,GasA,Y,2324,0,2009,245529.272525513
4054,,12665,1Fam,6,7,2,0,5,2007,1686,3,GasA,Y,987,0,2008,196374.904039355
4055,70,10667,1Fam,7,5,2,1,6,1969,1554,2,GasA,Y,1958,0,2009,211855.72628063
4056,55,5119,1Fam,6,5,1,0,6,1957,848,3,GasA,Y,1632,0,2008,146180.786399851
4057,85,2308,1Fam,7,9,1,1,9,1973,1029,3,GasA,Y,884,0,2008,147423.677570187
4058,,14450,1Fam,8,7,2,0,7,1996,707,3,GasA,Y,1626,0,2007,176749.219257364
4059,,9873,1Fam,5,5,2,1,7,2009,912,3,GasA,Y,1344,0,2007,184021.545047862
4060,,7200,1Fam,8,5,1,0,4,1995,588,3,GasA,Y,1337,0,2006,193901.597361337
4061,60,8400,1Fam,6,5,0,0,4,1982,970,3,GasA,Y,1494,0,2008,148353.902871107
4062,51,3922,1Fam,5,7,1,0,6,1959,744,3,GasA,Y,1192,0,2008,125467.11219164
4063,85,8640,TwnhsE,9,5,1,1,5,1932,1710,3,GasA,Y,1872,0,2008,280917.912296057
4064,94,17120,1Fam,7,5,3,1,5,1978,872,3,GasA,Y,1456,0,2008,179668.064690433
4065,,8462,1Fam,5,5,2,0,6,2004,1199,3,GasA,Y,2296,0,2008,190290.228075702
4066,,7399,1Fam,5,7,2,1,5,1965,864,3,GasA,Y,1128,0,2009,130478.852450013
4067,97,8885,1Fam,7,6,2,0,6,2006,630,4,GasA,Y,1178,0,2009,183099.80769817
4068,59,7180,TwnhsE,6,5,2,1,7,1958,855,3,GasA,Y,1684,0,2010,167137.722582568
4069,52,8520,1Fam,5,5,2,0,6,1924,978,3,GasA,Y,1414,0,2007,131894.131084673
4070,,7200,1Fam,4,5,2,0,4,2009,1302,3,GasA,Y,2468,0,2006,187406.930912151
4071,,8978,1Fam,5,5,1,0,5,1966,637,3,GasA,N,4316,0,2008,176878.770157631
4072,60,6780,1Fam,5,5,2,2,4,1971,1276,2,GasA,Y,1710,0,2006,147753.634968248
4073,60,13907,1Fam,5,5,2,0,6,1959,938,5,GasA,Y,1310,0,2010,102828.737225177
4074,107,16321,1Fam,5,7,1,0,7,1954,2046,3,GasA,Y,1647,0,2006,217318.621651111
4075,53,10320,1Fam,6,7,2,0,9,1959,0,3,GasA,Y,2013,0,2008,150338.292994906
4076,21,22420,1Fam,6,5,1,1,7,1962,793,3,GasA,Y,2374,0,2009,155225.78908079
4077,70,11143,2fmCon,6,3,2,0,5,2003,864,3,GasA,Y,912,0,2008,156336.629802746
4078,70,8320,1Fam,7,6,2,0,5,1971,1267,3,GasA,Y,1920,0,2007,209431.608735913
4079,60,13000,1Fam,4,5,2,0,6,1968,1056,3,GasA,Y,1446,0,2008,146875.444430482
4080,75,19900,1Fam,6,8,2,1,6,1961,1149,3,GasA,Y,2132,0,2008,220494.94283585
4081,85,8248,Twnhs,6,7,2,0,5,1967,0,4,GasA,Y,1355,0,2010,111821.709558155
4082,90,10382,1Fam,8,9,3,0,6,1971,0,2,GasA,Y,2087,0,2009,211065.759955608
4083,64,11000,1Fam,5,6,2,0,6,1954,1602,3,GasA,Y,1378,0,2010,159793.871362085
4084,64,14331,1Fam,4,5,1,1,6,2004,1444,3,GasA,Y,1425,0,2006,169900.986282213
4085,68,12798,1Fam,7,5,1,1,4,2009,1064,3,GasA,Y,1855,0,2010,237298.778375327
4086,83,10628,TwnhsE,5,5,2,0,7,1915,1013,2,GasA,Y,1501,0,2010,109856.788906774
4087,,12552,1Fam,5,6,1,0,8,1999,616,1,GasA,Y,1250,0,2006,177365.577685088
4088,77,9022,1Fam,5,6,1,1,7,1954,896,3,GasA,Y,1656,0,2006,145151.7094746
4089,,12257,1Fam,6,5,1,1,8,1939,796,4,GasA,Y,773,0,2008,114483.247039095
4090,55,11275,1Fam,6,5,2,0,6,1910,970,4,GasA,Y,1056,0,2008,110151.704689181
4091,90,4750,1Fam,6,5,2,0,8,1910,1638,3,GasA,Y,1779,0,2007,148390.967329335
4092,,7800,1Fam,7,5,1,0,4,1950,960,3,GasA,Y,1647,0,2007,170322.922716993
4093,,7200,1Fam,5,6,1,1,8,2005,1258,3,GasA,Y,1886,0,2009,224064.481986579
4094,82,6380,TwnhsE,5,5,2,0,6,1910,924,3,GasA,Y,520,0,2006,80823.4316878341
4095,,11553,1Fam,6,7,2,0,8,1959,1496,3,GasA,Y,864,0,2010,194564.201271555
4096,128,11200,1Fam,6,8,1,0,6,1977,1416,3,GasA,Y,1355,0,2007,141392.487135425
4097,70,14157,1Fam,6,5,0,0,6,1998,1069,4,GasA,Y,1728,0,2009,155712.421868537
4098,70,4571,1Fam,5,5,2,1,7,2005,1705,3,GasA,Y,1692,0,2009,193972.501141392
4099,30,10240,Twnhs,6,5,2,1,7,1938,780,2,GasA,Y,2020,0,2009,143706.795033886
4100,82,5232,1Fam,7,7,1,0,12,1925,901,3,GasA,Y,1442,0,2008,135932.346330562
4101,44,12227,1Fam,5,5,2,1,7,1980,1896,3,GasA,Y,912,0,2007,143475.731388765
4102,62,7438,1Fam,6,2,2,1,9,1971,716,2,GasA,Y,1494,0,2009,145697.464432675
4103,80,7136,1Fam,5,8,2,1,6,2004,793,2,GasA,Y,1726,0,2009,198769.086965019
4104,,7200,TwnhsE,6,5,2,0,8,2004,709,3,GasA,Y,1208,0,2010,162135.264561144
4105,82,13704,TwnhsE,6,9,2,0,5,1990,940,2,GasA,Y,1936,0,2008,169721.547297804
4106,,12144,1Fam,7,7,1,1,6,1924,1337,3,GasA,Y,2078,0,2008,241296.669345995
4107,60,1300,1Fam,6,6,2,1,11,2006,970,2,GasA,Y,1432,0,2009,151168.198024249
4108,21,10530,1Fam,6,5,2,0,9,2008,1905,3,GasA,Y,1709,0,2007,237709.351835192
4109,76,12046,1Fam,7,4,1,0,5,1969,1098,4,GasA,Y,1144,0,2009,136908.8296026
4110,70,159000,TwnhsE,6,5,2,0,5,1951,1763,3,GasA,Y,882,0,2010,158935.942137343
4111,,14450,1Fam,6,5,2,0,7,2007,1800,3,GasA,Y,4676,0,2007,276167.667082123
4112,44,10762,1Fam,1,5,1,0,6,1948,721,1,GasA,Y,1092,0,2007,89097.4557719648
4113,75,7642,1Fam,7,5,1,0,5,1956,1152,3,GasA,Y,1456,0,2007,177669.23236855
4114,84,14006,Twnhs,6,8,2,1,6,1939,1056,3,GasA,Y,1053,0,2007,122070.852270654
4115,44,11851,1Fam,6,3,1,1,8,1995,992,2,GasA,Y,1665,0,2009,183718.744191853
4116,92,6371,1Fam,4,5,2,1,8,1958,1494,2,GasA,Y,1414,0,2007,121424.823870574
4117,97,13501,1Fam,5,5,1,0,4,1993,1078,1,GasA,Y,1419,0,2010,145900.662072694
4118,50,10395,TwnhsE,6,5,2,0,7,2002,485,3,GasA,Y,1872,0,2008,169147.853459629
4119,72,16059,1Fam,6,5,1,1,7,2005,1138,3,GasA,N,1688,0,2006,196259.723783122
4120,56,8000,1Fam,5,7,1,1,6,1915,1212,4,GasA,Y,1056,0,2008,89937.674293803
4121,30,8198,1Fam,5,7,1,1,5,1940,1518,2,GasA,N,899,0,2008,139484.210117927
4122,,10793,1Fam,8,6,2,0,6,1948,1237,3,GasA,Y,1470,0,2008,167722.251167904
4123,85,9084,1Fam,4,5,1,0,8,1999,728,3,GasA,Y,1541,0,2006,152378.352737279
4124,92,11250,1Fam,6,5,1,1,7,2003,941,4,GasA,Y,1688,0,2006,168352.504495868
4125,75,8834,Twnhs,6,5,2,0,9,1971,1029,3,GasA,Y,1766,0,2009,175171.184402004
4126,50,1300,1Fam,8,5,1,0,6,1966,1142,3,GasA,Y,1661,0,2009,209884.276471006
4127,,11333,1Fam,7,4,2,1,4,1967,1210,4,GasA,Y,943,0,2008,138057.458378788
4128,70,9765,1Fam,9,5,1,1,9,1924,1425,3,GasA,Y,1560,0,2009,248162.750288932
4129,78,8244,1Fam,7,5,1,1,7,1977,1257,2,GasA,Y,1732,0,2006,148102.548131251
4130,76,10142,1Fam,4,5,2,0,6,2004,936,4,GasA,Y,630,0,2006,112989.31582411
4131,48,7200,1Fam,6,5,2,0,5,2007,832,4,GasA,Y,1700,0,2008,164387.755703259
4132,77,10364,TwnhsE,7,5,1,0,9,2005,1602,3,GasA,N,1872,0,2010,228124.463388493
4133,58,10400,1Fam,5,5,2,0,8,2004,1176,3,GasA,N,1099,0,2008,155497.946147938
4134,64,12665,1Fam,6,5,2,0,7,1972,1032,3,GasA,Y,1718,0,2006,181677.464755996
4135,65,2289,1Fam,7,6,1,1,5,2006,1241,4,GasA,Y,1232,0,2006,187656.019820976
4136,90,5271,Twnhs,7,6,1,1,7,1912,1413,3,GasA,Y,1601,0,2008,200663.722882688
4137,,15593,1Fam,5,5,2,0,5,1951,940,2,GasA,Y,1517,0,2007,143102.006524282
4138,110,4224,1Fam,6,6,1,0,8,1969,1122,3,GasA,Y,694,0,2010,99763.3905632874
4139,50,4571,1Fam,6,6,2,0,9,1893,864,3,GasA,Y,813,0,2008,78845.596534966
4140,61,8250,1Fam,5,5,1,0,8,2001,840,2,GasA,Y,952,0,2007,135142.671616289
4141,,7162,1Fam,6,8,1,0,8,1975,0,4,GasA,N,2715,0,2008,149231.923135818
4142,50,8281,1Fam,4,5,1,0,7,1960,1105,2,GasA,Y,1068,0,2008,129640.47650874
4143,70,7200,1Fam,7,5,1,0,5,1990,900,3,GasA,Y,1666,0,2007,167397.858452497
4144,,7535,1Fam,7,5,1,1,7,1960,1165,2,GasA,Y,1728,0,2010,174329.930372875
